ProjectName,Version,TestsNumber,EventsMaxNumberAmongTests,EventsAverageNumberAmongTests,GoCRTotalBugNumber,GoCRTotalBugNumberWithLingering,GoLeakTotalBugNumber,GoLeakTotalBugNumberWithLingering,GoPieTotalBugNumber,GoPieTotalBugNumberWithLingering,GFuzzTotalBugNumber,GFuzzTotalBugNumberWithLingering
argo-cd,v3.1.0,268,668,30.382554,9,37,0,4,4,27,2,17
bleve,v2.5.3,188,319758,3070.916986,9,35,2,5,5,15,3,12
bosun,v0.8.0,52,153,15.271111,1,3,0,0,0,1,0,1
caddy,v2.10.0,73,1096,60.457038,4,24,0,6,1,18,1,17
dns,v1.1.50,33,193,29.292769,7,25,0,0,0,0,0,0
flannel,v0.20.2,16,32,5.968750,0,0,0,0,0,0,0,0
frp,v0.63.0,14,14,2.096774,0,0,0,0,0,0,0,0
gin,v1.10.1,36,16,4.815081,0,2,0,0,0,1,0,1
gofiber,v2.40.1,39,983,97.431373,1,10,0,4,0,7,0,7
gorums,v0.7.0,16,28100,1261.437500,3,9,1,3,1,6,1,6
grpc,v1.51.0,13,357638,26181.052632,2,9,1,1,1,3,1,3
hugo,v0.148.2,32,2645,514.454545,0,1,0,1,0,0,0,0
kubernetes,v1.25.5,1389,1024,39.584112,8,14,8,10,8,13,8,12
nsq,v1.3.0,13,1465,96.762162,9,24,0,1,3,16,0,8
octant,v.0.25.1,146,72,11.950000,0,0,0,0,0,0,0,0
ollama,v0.11.4,82,77,5.425134,2,4,2,2,2,3,2,3
pholcus,v1.3.4,24,50,9.571429,0,0,0,0,0,0,0,0
syncthing,v1.22.1,129,134398,834.263989,11,30,2,7,6,13,6,10
terraform,v1.12.2,476,83173,115.309423,13,29,1,2,2,10,2,4
zinx,v1.2.7,14,1086232,21452.777778,2,19,0,14,0,10,0,9